record_id,text,label,label_name,language,word_count,char_count
AAA-00018,WELL FOLKS THATS ALL FOR TONIGHT I HOPE YOU ENJOYED,0,Non-Abusive,English,10,51
AAA-00019,Well damn you just made this Jersey boy drool alittle. That's how I like to see my Jersey women step out. You have great feet 2,0,Non-Abusive,English,26,127
AAA-00020,"Why do people say ""be yourself"" then they dislike people for being themselves?",0,Non-Abusive,English,13,78
AAA-00021,@SoWavyTee hey Hun!,0,Non-Abusive,English,3,19
AAA-00022,&#8220;@_WithFinesse: &#8220;@Shane_A1: Lol I 4got rose been dat nicca tho&#8221; #1 Never forget.&#8221;lol yee I was trippin,1,Abusive,English,17,126
AAA-00023,"Mark Teixeira finally stepping up, HR and couple of BBs #Yankees",0,Non-Abusive,English,11,64
AAA-00024,awww... finally stop lookin like some damn hippie?,0,Non-Abusive,English,8,50
AAA-00025,Of course. We the people are the government :]r all people should vote.,0,Non-Abusive,English,13,71
AAA-00026,Janet son of a gun. haha,0,Non-Abusive,English,6,24
AAA-00027,RT @alicia_enz: I'm the only person who likes yellow Starburst I feel,0,Non-Abusive,English,12,69
AAA-00028,RT @YaboySkeete: Lmaoooooo RT @ItsMeGrizz: Nymphos are stupid. Go hose your pussy down you weird bitch,1,Abusive,English,16,102
AAA-00029,Come for the brothas and other MOC about culture differences like... bitch plz,1,Abusive,English,13,78
AAA-00030,I don't think they're hard enough to be honest. Society wouldn't be the way it is if people would make they're kids have morals and standards. Aids is spreading at an unbelievable rate these days. Just sayin...,0,Non-Abusive,English,37,210
AAA-00031,Would you rather have a lovely day in with your family or go out partying with your friends?,0,Non-Abusive,English,18,92
AAA-00032,Such a trash episode of the walking dead tonight.,0,Non-Abusive,English,9,49
AAA-00033,Thanks very much! It was a lovely day. Getting older sucks less than I was led to believe. :-),0,Non-Abusive,English,19,94
AAA-00034,Ohhh well i didnt know you were doing that you know since the questions come backwards to you..hahhaa sorry about all the show your face comments. hahha,0,Non-Abusive,English,27,152
AAA-00035,RT @UnCharted_: Don't get your panties in a twist. Just take 'them off and let my tongue twist around in your pussy instead.,1,Abusive,English,23,124
AAA-00036,probably 2,0,Non-Abusive,English,2,10
AAA-00037,stupid teacher talks to @RandyMower like he's retarded,0,Non-Abusive,English,8,54
AAA-00038,Sean Stouffer lol VVV lol jk naw it wasn&;t me,0,Non-Abusive,English,10,46
AAA-00039,RT @ClutchLikeMJ: Tennessee isn't even orange it's like vitamin pee yellow &#128553;&#128514;&#128514;&#128514;,0,Non-Abusive,English,12,111
AAA-00040,@BoneSaw00 There's a reason why the Yankees don't want Anderson any longer.,0,Non-Abusive,English,12,75
AAA-00041,grape. still is :),0,Non-Abusive,English,4,18
AAA-00042,RT @Faceyspace: Dorks are really person-magnets. Sorry.,0,Non-Abusive,English,7,55
AAA-00043,The music stop playing and all you hear is fuck you bitch I'll Spit on you &#128514;&#128514;,1,Abusive,English,17,93
AAA-00044,You're so gay you don't even like boys.,0,Non-Abusive,English,8,39
AAA-00045,RT @iEatLightSkins_: Get a girl with good hair . U don't want a person that got nappy ass hair . Yo kids gone end up having bb's person &#128514;&#128514;&#128514;&#128514;,0,Non-Abusive,English,29,171
AAA-00046,OMG! really?! cool thats so awesome! yeah i wanna learn more languages bhut french is already enuff 2 deal wit! ha,0,Non-Abusive,English,21,114
AAA-00047,I know! Going to have to mix some up to bring with me I hate paying for drinks when I go out.,0,Non-Abusive,English,22,93
AAA-00048,a.job.being good pfffft.,0,Non-Abusive,English,3,24
AAA-00049,"@Zhugstubble naw person what's up with em hands, what happened to the stuff you was talking a couple a month's ago, eat person",0,Non-Abusive,English,23,125
AAA-00050,There is no perfect lol but I suppose with a funny guy-polite random and spontaneous maybe a night out at a 70's club and dress up go to dinner before. haha that'd be fun!! :),0,Non-Abusive,English,35,175
AAA-00051,:D touche! rockstars @ rockstartups. hehe best of luck wit the 2 boys throwing ideas.damn wish i was there! :(,0,Non-Abusive,English,20,110
AAA-00052,@CallMeRenee_ person u bs how fck yah &#9996;&#65039;&#128553;&#128514;&#128514;&#128080;&#128079;&#128526;&#128129;,0,Non-Abusive,English,8,116
AAA-00053,i would say carrie underwood concert. she puts on an awesome show! :),0,Non-Abusive,English,13,69
AAA-00054,I found your arm in that trash receptacle and your leg in the mud down by that stream.You should consider keeping better track of your limbs,0,Non-Abusive,English,26,140
AAA-00055,Have you ever been arrested?,0,Non-Abusive,English,5,28
AAA-00056,please stop person you beat off to your sister.,0,Non-Abusive,English,9,47
AAA-00057,i'm not an asshole i'm a bitch THE BITCH!! get it right or i'll kick you again...,0,Non-Abusive,English,17,81
AAA-00058,"Pm is u use any of the words I use (ex. Sweg,pm,yid,nid) we're dating",0,Non-Abusive,English,14,69
AAA-00059,bob,0,Non-Abusive,English,1,3
AAA-00060,suntem dar ne gandem cum sa gasim o mascota care sa o putem scoate din dulap cand vrem sa acuzam pe cineva pt nenorocul nostru,1,Abusive,English,25,126
AAA-00061,fuck I feel bad for you. what pack did you get?,0,Non-Abusive,English,11,47
AAA-00062,Chrisssy!!??? hahahahah Chantelle Alesha Kailee? Tori?? LMFAO iddkkkkk,0,Non-Abusive,English,8,70
AAA-00063,"RT @SaNtAnAdaGrEaT: I never understood that &#128530;if u want a strap on, just fck a nigga ! &#128514;&#128514;&#128514; wtf bitch",1,Abusive,English,20,131
AAA-00064,cum cloape??,0,Non-Abusive,English,2,12
AAA-00065,no! my phone is just actin gay :-(,0,Non-Abusive,English,8,34
AAA-00066,have you ever been in trouble with the law,0,Non-Abusive,English,9,42
AAA-00067,I hate how girls bitch about E V E R Y T H I N G,1,Abusive,English,16,48
AAA-00068,I hate it when I have no day job and can't just sit around reading or writing. *sigh* :D,0,Non-Abusive,English,19,88
AAA-00069,oh my fuck im not the only one awake,0,Non-Abusive,English,9,36
AAA-00070,why? we're snowed in!!! I hate bad winter weather.,0,Non-Abusive,English,9,50
AAA-00071,Heyy :D,0,Non-Abusive,English,2,7
AAA-00072,#anywere &#8220;@TheCooleyShow: LA = palm trees and great weather Any were else = horrible weather and no bitches&#8221;,1,Abusive,English,18,120
AAA-00073,Currently being hit with the jig. Word.,0,Non-Abusive,English,7,39
AAA-00074,Must Hate Hitler.,0,Non-Abusive,English,3,17
AAA-00075,join my chat http://www.chatzy.com/498131478193,0,Non-Abusive,English,4,47
AAA-00076,Love-Sweet November. r Comedy-Mr. Deeds :],0,Non-Abusive,English,6,42
AAA-00077,nigga u fresh as fuck.!,0,Non-Abusive,English,5,23
AAA-00078,RT @jay_ibarra95: Your tweets remind me of the times when we did the Oreo milkshake runs @ 1am in the morning !! &#128514;&#128557;&#128557;&#128557; @Vikyfdez15,0,Non-Abusive,English,24,161
AAA-00079,If you had to cook dinner for someone tonight what would you make?,0,Non-Abusive,English,13,66
AAA-00080,"Cheez-Its, Honey BBQ Lays, Oreos and a monstrous glass of 2% right now. I'm the skinny-fat poster boy.",0,Non-Abusive,English,18,102
AAA-00081,fuck looking cute i'm strictly Timb boots & army certified suits,0,Non-Abusive,English,11,64
AAA-00082,Of course you realise that being a nerd is a compliment in this house . . .,0,Non-Abusive,English,17,75
AAA-00083,damn can i drop the track and email it to u?,0,Non-Abusive,English,11,44
AAA-00084,RT @TM__7: &#128514;&#128514;&#128514;&#128514;&#128514;&#128513;&#128513;&#128513;&#128513;&#128588;&#128588; RT @Lizzs_Lockeroom: Watching a bird poop on your car after you just got it washed http://t.co/k6AiIVU6Ph,0,Non-Abusive,English,19,216
AAA-00085,RT @rhythmixx_: &#8220;@aliyahgrubb: Kanye West is a costume not a mock of a race.&#8221; girl I hate to do this but Kanye is a human not a costume but&#8230;,0,Non-Abusive,English,29,158
AAA-00086,Hella just ordered me some beanies,0,Non-Abusive,English,6,34
AAA-00087,RT @steviegarcia11: Here come wiggas soft tweets.. &#128514;,0,Non-Abusive,English,8,60
AAA-00088,congratu-fucking-lations miss jenna!,0,Non-Abusive,English,3,36
AAA-00089,This morning is brought to you by Emergen-C. I really need to nip this cold/flu business in the bud. #NoGermsWanted,0,Non-Abusive,English,20,115
AAA-00090,"#NP ""Centuries"" ~FOB",0,Non-Abusive,English,3,20
AAA-00091,broke freezing my ass off with -1 temps & ice lol. Ross,0,Non-Abusive,English,12,55
AAA-00092,Is there anything that can make you sick just by smelling it?,0,Non-Abusive,English,12,61
AAA-00093,idk y'all ppl that go/went to A&T ackin like y'all shocked about 70 bodies.. it was some first class hos at T that I knew personally,1,Abusive,English,26,132
AAA-00094,No lol thats funny :),0,Non-Abusive,English,5,21
AAA-00095,I Int down with that crazy ass Rambo shit. Hahaha. How long u been in.,0,Non-Abusive,English,15,70
AAA-00096,"Don't mind that Twinkies are gonna be gone, very concerned about the rest of hostesses product line",0,Non-Abusive,English,17,99
AAA-00097,Don't you hate that. Feel your pain as I do that too often.,0,Non-Abusive,English,13,59
AAA-00098,Not too much,0,Non-Abusive,English,3,12
AAA-00099,cunt!!!! i love you!!!!,0,Non-Abusive,English,4,23
AAA-00100,yeah thattttt...sucks. i wonder why those things set the alarm off hahaha hm!,0,Non-Abusive,English,13,77
AAA-00101,Have you ever pranked your parents?,0,Non-Abusive,English,6,35
AAA-00102,Sorry J We can't afford bad equipment in our work. I'll give good thoughts maybe put in a good word with the fat man up north,0,Non-Abusive,English,26,125
AAA-00103,HI! i hate packing too...lol i make my mom do it....it's alot easier,0,Non-Abusive,English,13,68
AAA-00104,If you could be on the cover of any magazine which would you choose?,0,Non-Abusive,English,14,68
AAA-00105,Whatchou talkin bout Willis? I just twatted your ass!!!!!!,0,Non-Abusive,English,9,58
AAA-00106,nm...just chillin,0,Non-Abusive,English,2,17
AAA-00107,fuck... lemme know if you'd like to work at criagslist,1,Abusive,English,10,54
AAA-00108,Looks like a good competitor :) Wouldn't touch it personally hate Symbian and Nokia Software :) My N95 is a bitch lol,0,Non-Abusive,English,22,117
AAA-00109,that sucks dude.. you should ream Apple a new one for that..,0,Non-Abusive,English,12,60
AAA-00110,dont know you that well. ha and not probably,0,Non-Abusive,English,9,44
AAA-00111,RT @KylaMock2: person think she know everything ha.,0,Non-Abusive,English,8,51
AAA-00112,I've actually been impressed with Twitter lately - haven't seen the fail whale in a very long time.,0,Non-Abusive,English,18,99
AAA-00113,all day son all day GBG grab ya cock if ya love hip hop,0,Non-Abusive,English,14,55
AAA-00114,fucking iPhone auto correct.,0,Non-Abusive,English,4,28
AAA-00115,Have you ever been to Jamaica?,0,Non-Abusive,English,6,30
AAA-00116,I'm in Ewston babe. Sorry to hear about your job. That sucks esp. before the holidays.,0,Non-Abusive,English,16,86
AAA-00117,what was ur favorite song???,0,Non-Abusive,English,5,28
AAA-00118,@DatBoyRayT bitch ass nigga Rico &#128530;,1,Abusive,English,6,42
AAA-00119,Why bother doing anything? (Post-nerd procrastination?),0,Non-Abusive,English,6,55
AAA-00120,RT @HeavensWay_: &#8220;@Thompson_Era: &#8220;@JuniorMaye8: @Thompson_Era it goes to her ego&#8221; And her head bc it sholl is big&#8221; bye person,0,Non-Abusive,English,20,149
AAA-00121,"hey you.. who thought you about ""musta"" ? =)",0,Non-Abusive,English,9,44
AAA-00122,I haven't been online all day person. Trust me... one post from me is going to be more than you want at your house.,0,Non-Abusive,English,24,115
AAA-00123,This is why @chrisbrown is a dumb ass hoe http://t.co/VeyjlYXHzt,1,Abusive,English,10,64
AAA-00124,"&#8220;@BlizzyLC: @Vice504fly u need to be in someone's church negro!&#8221;ur absolutely right, but I work Sunday's but still no excuse.",1,Abusive,English,20,137
AAA-00125,"Yep, sources confirmed it. That Iggy concert last night was trash",0,Non-Abusive,English,11,65
AAA-00126,most black shows nowadays are about bourgie ass successful black people... which is cool to see but...,0,Non-Abusive,English,17,102
AAA-00127,RT @Cam_Major: naw no bs tho...if u under lets say 20 and u got like 15 bodies...u def a hoe lol. theres no debating that.,1,Abusive,English,25,122
AAA-00128,I know some ratchet bitches and they rep the North side,1,Abusive,English,11,55
AAA-00129,If u know this person u know ur mexican http://t.co/Jyw85Vmp8K,0,Non-Abusive,English,10,62
AAA-00130,"Pretty over this whole Yankees thing, id rather lose in the ALCS every year then live in Detroit.. I miss the real Steinbrenner #glorydays",0,Non-Abusive,English,24,138
AAA-00131,Who do you like? =),0,Non-Abusive,English,5,19
AAA-00132,I need to write a blog post about how much I hate DM's. Off to do that be back in a second.,0,Non-Abusive,English,22,91
AAA-00133,That sucks. Poor baby Andy. Hope he gets better.,0,Non-Abusive,English,9,48
AAA-00134,@zfunk007 I like how his tattoo on his head forms a mullet. White trash people can be so entertaining sometimes,1,Abusive,English,20,111
AAA-00135,RT @lachlan: So who wants to tell the Washington Post that Charlie Crist is a Democrat? http://t.co/LGzzYusEKZ http://t.co/2jCVv7qxqf,0,Non-Abusive,English,18,133
AAA-00136,Lol its not ruined I can always delete the partition :) I don't hate Winblows I like OSX and Windows.,0,Non-Abusive,English,20,101
AAA-00137,oh man....that sounds damn good! now im hungry. damn you!,0,Non-Abusive,English,10,57
AAA-00138,When was the last time you slept on the floor?,0,Non-Abusive,English,10,46
AAA-00139,DAMN SKIPPY!?!?!,0,Non-Abusive,English,2,16
AAA-00140,RT @tj_curtin: A birds eye view of today's #harvest14 activities. Thanks @BrentJFF for the great camera work! http://t.co/RgETR4tV4S,0,Non-Abusive,English,18,132
AAA-00141,Fear no bitch,1,Abusive,English,3,13
AAA-00142,stop putting your damn headphones on so I can talk to you...then maybe you wouldn't be bored unf.,0,Non-Abusive,English,18,97
AAA-00143,I'm hooked on monkey phonics.,0,Non-Abusive,English,5,29
AAA-00144,What in your opinion would be the hardest drug to quit?,0,Non-Abusive,English,11,55
AAA-00145,Awesome. I make pretty good waffles but can't make pancakes to my own satisfaction. Too damn picky about them.,0,Non-Abusive,English,19,110
AAA-00146,i can&;t stop watching carrie underwood clips!!! im listening to cowboy casanova rite now!!!! :) i am soooo excited!!!! OMG,0,Non-Abusive,English,20,123
AAA-00147,@Herman_NYRBlog he's am has no clue #heeb,1,Abusive,English,7,41
AAA-00148,I CANT FUCKING WAIT FOR BOTH OF THOSEEEEEE&lt;3333.,0,Non-Abusive,English,8,51
AAA-00149,A .4? Jesus take me now RT @_RichHomieJuan_: @ayylmaoanod bitch you go for a .4 and mc Donald's. Fuck out the spot,1,Abusive,English,22,114
AAA-00150,hey... i was not talking about those bots which go around spamming. i hate those too. i was talking about query processors.,0,Non-Abusive,English,22,123
AAA-00151,"RT @minhazmerchant: Sonia never criticises Kejriwal. Kejriwal, who trashes every other leader, never criticises Sonia. Touching.",0,Non-Abusive,English,16,128
AAA-00152,Last night you felt?,0,Non-Abusive,English,4,20
AAA-00153,Dese niggaz on Dat guala shit....... http://t.co/qcrTA7H80x,1,Abusive,English,7,59
AAA-00154,RT @Teamadeezy: Niggas is hoes 2,1,Abusive,English,6,32
AAA-00155,RT @alexlundry: Charlie Baker!!!,0,Non-Abusive,English,4,32
AAA-00156,Oh that's perfectly fine. He knows I'm also after his ass. *wink*,0,Non-Abusive,English,12,65
AAA-00157,"@aldofelix naw dude I wish, they're white trash",1,Abusive,English,8,47
AAA-00158,RT @ColeFlexXx: Fingering N eating the pussy at the same time is good &#128203;&#128221;,1,Abusive,English,14,88
AAA-00159,ur having a party and notice a group of people you didnt invite how do you go about getting them to leave?,0,Non-Abusive,English,22,106
AAA-00160,Hmm..a new person that likes to talk and is intersting. least like....a creepy stalker dude.,0,Non-Abusive,English,15,92
AAA-00161,No and btw if this is the person i think it is please stop tlking to me lol =],0,Non-Abusive,English,19,78
AAA-00162,damn right it should be horrible stuff YUK!,1,Abusive,English,8,43
AAA-00163,Have you ever found a four leaf clover?,0,Non-Abusive,English,8,39
AAA-00164,@asiahh__ nah I replied to you like I did to literally everyone else who called it trash... Go and check if you don't believe me,0,Non-Abusive,English,25,128
AAA-00165,@Leelucas_ person you not coming http://t.co/xdCuuSBa2F,0,Non-Abusive,English,6,55
AAA-00166,still miami just got through customs. these fucking immagrants are driving me nuts! 2nd language my ass fuck em' all...,0,Non-Abusive,English,20,119
AAA-00167,Queen being that im a lady. and Miss Universe to be more exact. That's be awesome! And what I want for one year..who wouldnt want that lol,0,Non-Abusive,English,27,138
AAA-00168,EW! I hate waking up that early.,0,Non-Abusive,English,7,32
AAA-00169,You like where the hell is yo bitch meanwhile yo bitch like where the hell is yo clique #ayeeeee,1,Abusive,English,19,96
AAA-00170,Y'all sleep on Shy Glizzy &#128564; Young Jefe&#128520;,0,Non-Abusive,English,8,55
AAA-00171,I don&;t know Tabitha in person): but Idc I know deep down in my heart I&;ll love her for her <3,0,Non-Abusive,English,21,96
AAA-00172,So many person think they're so much hotter than they are,0,Non-Abusive,English,11,57
AAA-00173,it's good to have Dick Clark on TV. It may be some people's first or only interaction with someone who has had a stroke.,0,Non-Abusive,English,24,120
AAA-00174,http://twitpic.com/uzdf - that looks fucking sweet!!!,0,Non-Abusive,English,6,53
AAA-00175,"&#8220;@cooney_mane: @BrianMC630 ""they played a great job"" who's the person now?&#8221; &#128514;&#128514;&#128514;",0,Non-Abusive,English,12,115
AAA-00176,This fuzzy wuzzy kitten wants to know how a raven is like a writing desk. Find out why here &#8594; http://t.co/GI9On86iGV http://t.co/HlKDTSgKwU,0,Non-Abusive,English,22,145
AAA-00177,have you ever wrote a love song?,0,Non-Abusive,English,7,32
AAA-00178,I hate the vibrate on the Moto Q period. It is so loud.,0,Non-Abusive,English,13,55
AAA-00179,@KingCuh @TEE_JONEZ io.. lol osi tangi! Haha a tuku ho tangible Terryn! Atunga ho fie lea lahi mai!,0,Non-Abusive,English,18,99
AAA-00180,Can't be many things worse than having COPS interrupted because a friggin Yankee game is still going on.,0,Non-Abusive,English,18,104
AAA-00181,#IDontHaveTimeFor Ratchet hoes.,1,Abusive,English,3,31
AAA-00182,&#8220;@popitfor_tyrick: Bitch said I lie too much bitch you ain't worth telling the truth too&#8221;&#8252;&#65039;&#8252;&#65039;&#8252;&#65039;,1,Abusive,English,15,146
AAA-00183,If a person don't taste her own &#128573; you shouldn't even dare eat it &#128567;,0,Non-Abusive,English,15,82
AAA-00184,@_BeautifulKeezy bitch I died when I read that.,1,Abusive,English,8,47
AAA-00185,yes. i do walks all the time,0,Non-Abusive,English,7,28
AAA-00186,no she'll be back. i say fuck it all.,0,Non-Abusive,English,9,37
AAA-00187,I hate that. Stupid Gator fans. Making Christians look bad. :),0,Non-Abusive,English,11,62
AAA-00188,What the Fuck? Did I die? #6wordepitaph,0,Non-Abusive,English,7,39
AAA-00189,"Man, aunt petunia is a royal bitch.",1,Abusive,English,7,35
AAA-00190,What kind of monster did you use to be afraid of?,0,Non-Abusive,English,11,49
AAA-00191,@SactownProidgy @SpeakComedy @yunglucy_ @karon_avila I just noticed you guys called me a jiggaboo,0,Non-Abusive,English,13,97
AAA-00192,Like don't play with me person,0,Non-Abusive,English,6,30
AAA-00193,RT @SneakerPics23: Oreo 6's http://t.co/Jx9DD9oahY,0,Non-Abusive,English,5,50
AAA-00194,"People, RT this picture far and wide, if for no other reason than it makes teabaggers with poor spelling really angry http://t.co/gygRzYCIjq",0,Non-Abusive,English,22,140
AAA-00195,Panties or Thong?,0,Non-Abusive,English,3,17
AAA-00196,You NEED an iPhone to use their stupid watch? Apple is just grabbing people ankles and shaking the money out of rubes pockets.,0,Non-Abusive,English,23,126
AAA-00197,bitch we're going to vegas call me when you get a chance for details.,0,Non-Abusive,English,14,69
AAA-00198,he he and some people bitch about never hearing back from them ;-),0,Non-Abusive,English,13,66
AAA-00199,Sorry to be the science nerd but salt is a generic term that refers to many chemicals. So road salt != ocean salt.,0,Non-Abusive,English,23,114
AAA-00200,come to Dothan bitch. You'll find someone to make out with fast.,0,Non-Abusive,English,12,64
AAA-00201,Tell him I'm going to come kick his ass! =),0,Non-Abusive,English,10,43
AAA-00202,1-100000 You are a semi-evolved monkey that is desperately searching for validation and meaning in life. BBQd you'd be ok with mango salsa.,0,Non-Abusive,English,23,139
AAA-00203,what does it take to make you smile ?,0,Non-Abusive,English,9,37
AAA-00204,Weird frosted colored lipgloss is weird...,0,Non-Abusive,English,6,42
AAA-00205,ha ha person :),0,Non-Abusive,English,4,15
AAA-00206,- welcome to frisco on new years....damn crazy!,0,Non-Abusive,English,8,47
AAA-00207,person u kno my game tight,0,Non-Abusive,English,6,26
AAA-00208,LMAO life in the fast tweet lane. i never fail whale yet.but than again only 709 tweets.does that matter?,0,Non-Abusive,English,19,105
AAA-00209,Shut up your prettier! <33,0,Non-Abusive,English,5,26
AAA-00210,number don't lie. and yes it would take a lot to offend me. like spammers using my name. that is fucking offensive,0,Non-Abusive,English,22,114
AAA-00211,"and add a ""tweet this"" button to share the trend results... Damn there are dozen of things that have been done here for 2009 :-)",0,Non-Abusive,English,25,128
AAA-00212,@GallagherEmily nigra in da back,1,Abusive,English,5,32
AAA-00213,Highhhhh watching dawn of planet of the apes #StonerNation #LifeComplete,0,Non-Abusive,English,10,72
AAA-00214,Have you ever ridden in a taxi?,0,Non-Abusive,English,7,31
AAA-00215,no lol. ive collected stickers but not the ones on the fruit lol,0,Non-Abusive,English,13,64
AAA-00216,Yall trustin these hoes... I've never been that gullible,1,Abusive,English,9,56
AAA-00217,on some field person stuff,0,Non-Abusive,English,5,26
AAA-00218,yes. for sure.,0,Non-Abusive,English,3,14
AAA-00219,RT @jakeburnsmfc: @staycoolwheels @BloggerBoxing because hillbillies like sports to...,0,Non-Abusive,English,9,86
AAA-00220,ehh idk?,0,Non-Abusive,English,2,8
AAA-00221,And it's gotta be some ghetto fool :/,0,Non-Abusive,English,8,37
AAA-00222,If you could become any fictional character who would you be?,0,Non-Abusive,English,11,61
AAA-00223,RT @Vaeflare: ...Because sometimes you just need a moment to appreciate a noble guinea pig with steampunk dragon wings. http://t.co/SeRyx9v&#8230;,0,Non-Abusive,English,20,146
AAA-00224,"""just when I thought you're running outta material I come home n here's your Ass"" LOL",0,Non-Abusive,English,16,85
AAA-00225,Text me?,0,Non-Abusive,English,2,8
AAA-00226,my side bitch is my main bitch cuz my main bitch aint feelin me nomo...nomo,1,Abusive,English,15,75
AAA-00227,3 physical features you get complimented on a lot? Name your least favorite feature?,0,Non-Abusive,English,14,84
AAA-00228,Because they feel they have noone else that will love them. but truly i dont understand why people do that?? its very confusing to me. There's only about a biazillion people in this world that you can meet and fall in love with...why end it for one individual. theres so much more out there!,0,Non-Abusive,English,54,291
AAA-00229,ouch that sucks.. Sorry I wouldn't even know of one in Cleveland. I will stick with guitars.,0,Non-Abusive,English,17,92
AAA-00230,"Out of day care, I'm taking a kitty nap on you hosers.",0,Non-Abusive,English,12,54
AAA-00231,I'm just that damn cool homie. You'll know what's up when I don't tweet for exactly 1hr and 56min. LOL,0,Non-Abusive,English,20,102
AAA-00232,"exactly. hate it when random readers drop with crazy comments w/o actually looking around and ""Reading"". She did turn around",0,Non-Abusive,English,20,124
AAA-00233,Hope you're not getting a full fluoride. Hate that. Good luck!,0,Non-Abusive,English,11,62
AAA-00234,"@Jpizzle651 I didn't really have one, was aware of Yankees, but always loved Dodgers uniform!",0,Non-Abusive,English,15,93
AAA-00235,@donwill this is true. i've been obsessed with ramen for months thanks to Yvette and that damn restaurant in manhattan.,0,Non-Abusive,English,20,119
AAA-00236,it's so depressing. I HATE valentines anyway. What is the equivalent 'Bah Humbug' to valentines?,0,Non-Abusive,English,15,96
AAA-00237,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki http://t.co/XxcdQvzI9t",0,Non-Abusive,English,6,77
AAA-00238,a bunch im sure. white lies are the hardest to remember,0,Non-Abusive,English,11,55
AAA-00239,RT @viper5816: Sen. Harry Reid Lists all the Things Republicans Have Blocked in the Senate http://t.co/bjoWvABwhi via @townhallcom He is ho&#8230;,0,Non-Abusive,English,21,146
AAA-00240,Sweeps Week: Meryl Streep plays gay arsonist on COPS!,0,Non-Abusive,English,9,53
AAA-00241,If I were a kid today...Michelle Obama's lunch would wind up in the trash can,0,Non-Abusive,English,15,77
AAA-00242,Gotta keep the sox down while they're down! #RedSox #Yankees #mlb,0,Non-Abusive,English,11,65
AAA-00243,you should know who this is. just text me.,0,Non-Abusive,English,9,42
AAA-00244,"Welcome to the fag brigade! Sorry sorry I meant to say ""Welcome to Twitter!"" Is lumieru on LJ. :3",0,Non-Abusive,English,19,97
AAA-00245,"I love how we can marry and still be the same queer, messy, funny, fabulous, dramatic community we've always been. Why I love us.",0,Non-Abusive,English,24,129
AAA-00246,its all in your head. soo i'll say LOVE.,0,Non-Abusive,English,9,40
AAA-00247,Frak the trainer. Work out w/o him. Don't quit because he's a dick.,0,Non-Abusive,English,13,67
AAA-00248,I'm scared! Pig in a suit? Were they all out of blankets?,0,Non-Abusive,English,12,57
AAA-00249,well damn! Do it big!,0,Non-Abusive,English,5,21
AAA-00250,Ha i fucking love it!!! ask for a feature and it's live in 5 minutes. LOL that is no longer my world,0,Non-Abusive,English,22,100
AAA-00251,damn right. Unfairly maligned is the poor sardine.,0,Non-Abusive,English,8,50
AAA-00252,"Do your person hang low, do it wobble to and fro, can you tie it in a knot, can you stick it in a hoe?",0,Non-Abusive,English,25,102
AAA-00253,RT @0_oitsCRUNCH: Def a whiny bitch RT @manddddddd: &#8220;@LawsOfSex: A girl who cries is a girl who cares.&#8221; Or a whiny bitch,1,Abusive,English,22,132
AAA-00254,wats wid the 3469 .. omg... u're on twitter ... U gave in to the phenomenon .. Folie a deux postponed what the fuck ???????????????,0,Non-Abusive,English,25,131
AAA-00255,have a safe trip planes freak me out :(,0,Non-Abusive,English,9,39
AAA-00256,hmmmmmmmmmmmmmmmmmmmmmm,0,Non-Abusive,English,1,23
AAA-00257,"RT @goddesslaney: @lajouetreine if you give that statement any thought at all you will realize it makes no sense. At all. Please, think abo&#8230;",0,Non-Abusive,English,24,146
AAA-00258,Fuck her pussy fuck her mouth fuck her ass cause she nasty,1,Abusive,English,12,58
